34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49	49	49	49	49	49	49	49	49
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	49	49	49	49	49	49	49	49	49	49
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	49	49	49	49	49	49	49	49	49	49
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	13	13	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49
34	34	34	34	34	34	34	34	34	34	34	34	34	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49
34	34	34	34	34	34	34	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49	49
34	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	47	47	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49	49
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	30	30	30	18	18	18	18	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	47	47	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49	49	49
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	30	30	18	18	18	18	18	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	47	47	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49	49	49
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	30	18	18	18	18	18	18	18	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	47	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	49	49	49	49	49	49	49	49	49	49	49	49	49	49
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	30	30	30	30	30	30	30	30	30	18	18	18	18	18	18	18	18	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	47	47	47	47	47	47	47	47	47	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	32	32	49	49	49	49	49	49	49	49	49	49	49	49	49	49
